Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-31 16:42:00.967275-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:42:01.145253-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:42:01.252032-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:42:01.291256-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:42:01.309565-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:42:01.351818-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:42:01.376156-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:42:04.220261-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:42:04.423328-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:42:04.577169-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:42:04.603540-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:42:04.663572-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:42:04.739038-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:42:04.761970-0800 0x7a6b5    Default     0x0                  37929  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:42:05.917230-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:42:45.109707-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:42:45.188870-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:42:45.243789-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:42:45.249089-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:42:45.264220-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:42:45.270937-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:42:45.276030-0800 0x7aa31    Default     0x0                  37980  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:43:04.699697-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:43:04.851979-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:43:04.888695-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:43:05.004166-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:43:05.022280-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:43:05.058997-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:43:05.095631-0800 0x7abfa    Default     0x0                  37999  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
2025-12-31 16:43:05.923087-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:43:06.130891-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:43:06.234247-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:43:06.273803-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:43:06.294178-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:43:06.332865-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:43:06.354224-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is not there
2025-12-31 16:43:11.456669-0800 0x423c8    Default     0x0                  21848  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] check done. sleep 60 seconds
2025-12-31 16:43:49.373594-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] checking nanny
2025-12-31 16:43:49.460516-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: shared
2025-12-31 16:43:49.465935-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: ex
2025-12-31 16:43:49.510312-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: deleted users
2025-12-31 16:43:49.517148-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: vincentlu1
2025-12-31 16:43:49.531451-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] found illegal account: .localized
2025-12-31 16:43:49.536254-0800 0x7afe9    Default     0x0                  38054  0    calendar: (_pyoslog.cpython-310-darwin.so) [pCtlAll:root] nanny is there
